position,title,year,duration,age_rating,imdb_rating,votes,metascore,plot,href,cover,cover_alt
5995, Ooops a Desi,No Year,No Duration,No Age Rating,"6,9", (187),No Metascore,No Plot,https://www.imdb.com//title/tt3160450/?ref_=sr_t_5995,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BNTkxNzg5NjM5N15BMl5BanBnXkFtZTgwMzE1MjIyMDE@._V1_QL75_UY207_CR3,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BNTkxNzg5NjM5N15BMl5BanBnXkFtZTgwMzE1MjIyMDE@._V1_QL75_UY207_CR3,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BNTkxNzg5NjM5N15BMl5BanBnXkFtZTgwMzE1MjIyMDE@._V1_QL75_UY311_CR4,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BNTkxNzg5NjM5N15BMl5BanBnXkFtZTgwMzE1MjIyMDE@._V1_QL75_UY414_CR5,0,280,414_.jpg 280w"
5996, The Highest Pass,No Year,No Duration,No Age Rating,"6,9", (113),No Metascore,"Adam learns that his Yogi guru, Anand, has discovered a prophesy that was printed on his birth chart - he would die in an accident at the age of 27; and when Anand invites Adam to join him on a motorcycle journey through India's Himalayas, to the highest motorable road in the world, he faces the ultimate question: Is truly living worth dying for?",https://www.imdb.com//title/tt1809370/?ref_=sr_t_5996,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BMjE3MDAxNzU3M15BMl5BanBnXkFtZTcwNDkwNzQ3Nw@@._V1_QL75_UY207_CR2,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BMjE3MDAxNzU3M15BMl5BanBnXkFtZTcwNDkwNzQ3Nw@@._V1_QL75_UY207_CR2,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BMjE3MDAxNzU3M15BMl5BanBnXkFtZTcwNDkwNzQ3Nw@@._V1_QL75_UY311_CR3,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BMjE3MDAxNzU3M15BMl5BanBnXkFtZTcwNDkwNzQ3Nw@@._V1_QL75_UY414_CR4,0,280,414_.jpg 280w"
5997, Rajwade and Sons,No Year,No Duration,No Age Rating,"6,9", (214),No Metascore,A rich joint family of jewelers is under the unreasonably conservative control of their grandfather. The teenagers of the third generation feel stifled and unhappy. The movie tells us how they break free and make their own life choices.,https://www.imdb.com//title/tt5125576/?ref_=sr_t_5997,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BMzVhZjcxZjctMmMzMi00NzI2LWJjZmUtZDA0NGNhZjQxNjUxXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BMzVhZjcxZjctMmMzMi00NzI2LWJjZmUtZDA0NGNhZjQxNjUxXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BMzVhZjcxZjctMmMzMi00NzI2LWJjZmUtZDA0NGNhZjQxNjUxXkEyXkFqcGc@._V1_QL75_UY311_CR11,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BMzVhZjcxZjctMmMzMi00NzI2LWJjZmUtZDA0NGNhZjQxNjUxXkEyXkFqcGc@._V1_QL75_UY414_CR16,0,280,414_.jpg 280w"
5998, Veta,No Year,No Duration,No Age Rating,"6,9", (170),No Metascore,No Plot,https://www.imdb.com//title/tt0246313/?ref_=sr_t_5998,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BYzZhMzU2ZWUtNmU5ZS00OTBjLThiOTktNDA5ZjY1NjQyNDJmXkEyXkFqcGc@._V1_QL75_UY207_CR2,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BYzZhMzU2ZWUtNmU5ZS00OTBjLThiOTktNDA5ZjY1NjQyNDJmXkEyXkFqcGc@._V1_QL75_UY207_CR2,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BYzZhMzU2ZWUtNmU5ZS00OTBjLThiOTktNDA5ZjY1NjQyNDJmXkEyXkFqcGc@._V1_QL75_UY311_CR3,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BYzZhMzU2ZWUtNmU5ZS00OTBjLThiOTktNDA5ZjY1NjQyNDJmXkEyXkFqcGc@._V1_QL75_UY414_CR4,0,280,414_.jpg 280w"
5999, Varsham,No Year,No Duration,No Age Rating,"6,9"," (1,3 mil)",No Metascore,"Venu (Mammootty) leads a happy and contented middle class life with his family. He starts a small scale finance firm, as a service and soon his business flourishes well. This does not go well with his competitors and they join together against him.",https://www.imdb.com//title/tt4176604/?ref_=sr_t_5999,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BZTdmMDUxODgtZjU5MC00NmU4LThiNWQtMzQ1MDk2YTBjN2I2XkEyXkFqcGc@._V1_QL75_UY207_CR17,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BZTdmMDUxODgtZjU5MC00NmU4LThiNWQtMzQ1MDk2YTBjN2I2XkEyXkFqcGc@._V1_QL75_UY207_CR17,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BZTdmMDUxODgtZjU5MC00NmU4LThiNWQtMzQ1MDk2YTBjN2I2XkEyXkFqcGc@._V1_QL75_UY311_CR24,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BZTdmMDUxODgtZjU5MC00NmU4LThiNWQtMzQ1MDk2YTBjN2I2XkEyXkFqcGc@._V1_QL75_UY414_CR33,0,280,414_.jpg 280w"
6000, Doore Doore Oru Koodu Kootam,No Year,No Duration,No Age Rating,"6,9", (107),No Metascore,"After acquiring fake degrees, Divakaran decides to teach in a government school that is run by corrupt individuals. However, when he sees the children suffering, he decides to change the system.",https://www.imdb.com//title/tt0237178/?ref_=sr_t_6000,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BODliNjBkYTMtNzA0Ny00Y2E3LWFhZjQtNGM4M2UwYTU3YTFkXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BODliNjBkYTMtNzA0Ny00Y2E3LWFhZjQtNGM4M2UwYTU3YTFkXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BODliNjBkYTMtNzA0Ny00Y2E3LWFhZjQtNGM4M2UwYTU3YTFkXkEyXkFqcGc@._V1_QL75_UY311_CR11,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BODliNjBkYTMtNzA0Ny00Y2E3LWFhZjQtNGM4M2UwYTU3YTFkXkEyXkFqcGc@._V1_QL75_UY414_CR16,0,280,414_.jpg 280w"
6001, RECCE 360,No Year,No Duration,No Age Rating,"6,9"," (2,2 mil)",No Metascore,"The story is about a happy-go-lucky guy named Abhiram, who works as an HR in a prominent software company. He is a bachelor who lives in the city with his sister and brother-in-law who are fond of him. One day his sister and his family members decide to go out of station for holiday. With the home all to himself, Abhiram decides to call one of his friends Bhadram over to chill and have a small party. However, taking the opportunity at hand, Bhadram gets over-excited and comes up with an idea to bring a call girl home so they can have more fun at the party. But then as they were having fun the call girl died suspiciously.Will he succeed in solving the mystery?",https://www.imdb.com//title/tt21282262/?ref_=sr_t_6001,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BNzkwYTk2MzctMmNiYy00ZDJhLThhNTQtMmJhZWVlZWRlY2UzXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BNzkwYTk2MzctMmNiYy00ZDJhLThhNTQtMmJhZWVlZWRlY2UzXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BNzkwYTk2MzctMmNiYy00ZDJhLThhNTQtMmJhZWVlZWRlY2UzXkEyXkFqcGc@._V1_QL75_UX210_CR0,2,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BNzkwYTk2MzctMmNiYy00ZDJhLThhNTQtMmJhZWVlZWRlY2UzXkEyXkFqcGc@._V1_QL75_UX280_CR0,3,280,414_.jpg 280w"
6002, Achuvinte Amma,No Year,No Duration,No Age Rating,"6,9", (696),No Metascore,"The film exhibits how an interception made by a good but male, changed the life of a caring mother, when her only daughter fell in love with him.",https://www.imdb.com//title/tt0446266/?ref_=sr_t_6002,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BZTdjMjNkOTgtODNhNy00MzYwLWFmMDEtZDM5MDk3NjI4YTMwXkEyXkFqcGc@._V1_QL75_UY207_CR38,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BZTdjMjNkOTgtODNhNy00MzYwLWFmMDEtZDM5MDk3NjI4YTMwXkEyXkFqcGc@._V1_QL75_UY207_CR38,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BZTdjMjNkOTgtODNhNy00MzYwLWFmMDEtZDM5MDk3NjI4YTMwXkEyXkFqcGc@._V1_QL75_UY311_CR57,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BZTdjMjNkOTgtODNhNy00MzYwLWFmMDEtZDM5MDk3NjI4YTMwXkEyXkFqcGc@._V1_QL75_UY414_CR76,0,280,414_.jpg 280w"
6003, Hind Ka Napak Ko Jawab,No Year,No Duration,No Age Rating,"6,9"," (4,1 mil)",No Metascore,"A sequel to MSG Lion Heart, this story is about a secret agent equipped with weapons who is all set to take on the enemies.",https://www.imdb.com//title/tt6467380/?ref_=sr_t_6003,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BMGVhYzhiNjktYzg3YS00NDg5LWI0MTgtZDYzNTVkNDNkMWJhXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BMGVhYzhiNjktYzg3YS00NDg5LWI0MTgtZDYzNTVkNDNkMWJhXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BMGVhYzhiNjktYzg3YS00NDg5LWI0MTgtZDYzNTVkNDNkMWJhXkEyXkFqcGc@._V1_QL75_UX210_CR0,2,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BMGVhYzhiNjktYzg3YS00NDg5LWI0MTgtZDYzNTVkNDNkMWJhXkEyXkFqcGc@._V1_QL75_UX280_CR0,3,280,414_.jpg 280w"
6004, Rudramkota,No Year,No Duration,No Age Rating,"6,9"," (2,1 mil)",No Metascore,"Rudra, witnesses something unusual happening to his mother, and decides to kill. How far will he go?",https://www.imdb.com//title/tt29119032/?ref_=sr_t_6004,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BNTBmZGQ4NGUtMmQ4OC00OTVkLTlhYjUtYTU4ZTUwYWJjN2EzXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BNTBmZGQ4NGUtMmQ4OC00OTVkLTlhYjUtYTU4ZTUwYWJjN2EzXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BNTBmZGQ4NGUtMmQ4OC00OTVkLTlhYjUtYTU4ZTUwYWJjN2EzXkEyXkFqcGc@._V1_QL75_UX210_CR0,2,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BNTBmZGQ4NGUtMmQ4OC00OTVkLTlhYjUtYTU4ZTUwYWJjN2EzXkEyXkFqcGc@._V1_QL75_UX280_CR0,3,280,414_.jpg 280w"
6005, Ullasanga Utsahanga,No Year,No Duration,No Age Rating,"6,9", (368),No Metascore,A complicated love story between childhood friend BALAJI and only friend Arvind. Which one Dhana should choose to spend his entire life with?,https://www.imdb.com//title/tt1258805/?ref_=sr_t_6005,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BODc0ZDRjODktN2ViMC00Y2MwLTkxMjAtNjkzNjY0OWFmNDE5XkEyXkFqcGc@._V1_QL75_UX140_CR0,2,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BODc0ZDRjODktN2ViMC00Y2MwLTkxMjAtNjkzNjY0OWFmNDE5XkEyXkFqcGc@._V1_QL75_UX140_CR0,2,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BODc0ZDRjODktN2ViMC00Y2MwLTkxMjAtNjkzNjY0OWFmNDE5XkEyXkFqcGc@._V1_QL75_UX210_CR0,3,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BODc0ZDRjODktN2ViMC00Y2MwLTkxMjAtNjkzNjY0OWFmNDE5XkEyXkFqcGc@._V1_QL75_UX280_CR0,4,280,414_.jpg 280w"
6006, Mrugtrushna,No Year,No Duration,No Age Rating,"6,9", (435),No Metascore,"Mrugtrushna is about four kids living on the banks of a river in 1980s Gujarat, and their desire to explore the other side of the river, leading them on a journey of imagination and wonder that they would cherish and remember forever.",https://www.imdb.com//title/tt10981076/?ref_=sr_t_6006,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BZDk2MjdkOWYtMWVhZS00ZTg2LTk3ZDEtZmI1NDZlYTgzZjc2XkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BZDk2MjdkOWYtMWVhZS00ZTg2LTk3ZDEtZmI1NDZlYTgzZjc2XkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BZDk2MjdkOWYtMWVhZS00ZTg2LTk3ZDEtZmI1NDZlYTgzZjc2XkEyXkFqcGc@._V1_QL75_UY311_CR5,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BZDk2MjdkOWYtMWVhZS00ZTg2LTk3ZDEtZmI1NDZlYTgzZjc2XkEyXkFqcGc@._V1_QL75_UY414_CR7,0,280,414_.jpg 280w"
6007, Jack & Dil,No Year,No Duration,No Age Rating,"6,9", (862),No Metascore,"JACK and DIL is a modern day story of new age man Jack, carefree with little materialistic ambitions, earning as much to meet his daily needs. Jack's only passion is to read detective novels so he could write one of his own too. Problem starts when the penniless Jack falls in love with the idea of buying a dog. Rich businessman Mr.Walia (Arbaaz Khan) is keen to sell his dog but their meeting takes an altogether different turn. Jack turns a detective and his quest to own the dog lands him into chasing the Businessman's wife Shilpa ( Sonal Chauhan). The chase brings the two closer. But Jack's deal is on the deadline to find out the mystery man in Shilpa's life. Meanwhile Shilpa gets to know of Jack's On - Off relationship with his model girlfriend Lara (Evelyn Sharma).Shilpa narrates her love story with Walia who is now totally focused on his business. Jack admits to his affair with Shilpa and the furious Walia refuses to believe it. Finally he realizes he has lost his totally neglected wife forever. Jack Challenges Walia to woo her back. A challenge that is really tough for Walia. Does Walia take up the challenge or goes back to his business. Does Shilpa take a divorce or wins Walia back? Does Jack get his dog and his girlfriend back?",https://www.imdb.com//title/tt6144958/?ref_=sr_t_6007,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BYTQzMmRkODUtZjQ2Ni00ZGZhLWIzZTEtOTMwZGMyMDIwYmM1XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BYTQzMmRkODUtZjQ2Ni00ZGZhLWIzZTEtOTMwZGMyMDIwYmM1XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BYTQzMmRkODUtZjQ2Ni00ZGZhLWIzZTEtOTMwZGMyMDIwYmM1XkEyXkFqcGc@._V1_QL75_UX210_CR0,2,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BYTQzMmRkODUtZjQ2Ni00ZGZhLWIzZTEtOTMwZGMyMDIwYmM1XkEyXkFqcGc@._V1_QL75_UX280_CR0,3,280,414_.jpg 280w"
6008, Dhanam,No Year,No Duration,No Age Rating,"6,9", (229),No Metascore,A debt-ridden man's plan of turning in a group of smugglers for a monetary reward goes awry as they pursue him in revenge.,https://www.imdb.com//title/tt0237157/?ref_=sr_t_6008,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BYTAyZWNhZjQtOTE0Ni00OWQzLTlkZDItNTY1ZTJjYTcyMjIwXkEyXkFqcGc@._V1_QL75_UY207_CR9,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BYTAyZWNhZjQtOTE0Ni00OWQzLTlkZDItNTY1ZTJjYTcyMjIwXkEyXkFqcGc@._V1_QL75_UY207_CR9,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BYTAyZWNhZjQtOTE0Ni00OWQzLTlkZDItNTY1ZTJjYTcyMjIwXkEyXkFqcGc@._V1_QL75_UY311_CR13,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BYTAyZWNhZjQtOTE0Ni00OWQzLTlkZDItNTY1ZTJjYTcyMjIwXkEyXkFqcGc@._V1_QL75_UY414_CR17,0,280,414_.jpg 280w"
6009, Nadigan,No Year,No Duration,No Age Rating,"6,9", (153),No Metascore,A man in desperate need of money decides to disguise himself as an old man to teach two young women. He falls in love with one of the them and simultaneously romances their guardian.,https://www.imdb.com//title/tt0320125/?ref_=sr_t_6009,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BZjRjOTdkNjktZjA2ZS00ZmFlLTk3NzMtZGVlOGVhOWRmZWQ2XkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BZjRjOTdkNjktZjA2ZS00ZmFlLTk3NzMtZGVlOGVhOWRmZWQ2XkEyXkFqcGc@._V1_QL75_UY207_CR3,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BZjRjOTdkNjktZjA2ZS00ZmFlLTk3NzMtZGVlOGVhOWRmZWQ2XkEyXkFqcGc@._V1_QL75_UY311_CR4,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BZjRjOTdkNjktZjA2ZS00ZmFlLTk3NzMtZGVlOGVhOWRmZWQ2XkEyXkFqcGc@._V1_QL75_UY414_CR6,0,280,414_.jpg 280w"
6010, Viralukketha Veekkam,No Year,No Duration,No Age Rating,"6,9", (110),No Metascore,"Three wives have had enough of their husbands' irresponsible ways and get jobs to manage their homes, but the husbands get upset over losing their positions as breadwinners.",https://www.imdb.com//title/tt10157546/?ref_=sr_t_6010,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BY2E5ZmViNzktZGJiOC00MjEwLWIwYWUtNmQ2MTEwM2Y0ZWZiXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BY2E5ZmViNzktZGJiOC00MjEwLWIwYWUtNmQ2MTEwM2Y0ZWZiXkEyXkFqcGc@._V1_QL75_UY207_CR8,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BY2E5ZmViNzktZGJiOC00MjEwLWIwYWUtNmQ2MTEwM2Y0ZWZiXkEyXkFqcGc@._V1_QL75_UY311_CR11,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BY2E5ZmViNzktZGJiOC00MjEwLWIwYWUtNmQ2MTEwM2Y0ZWZiXkEyXkFqcGc@._V1_QL75_UY414_CR15,0,280,414_.jpg 280w"
6011, Kem Chho?,No Year,No Duration,No Age Rating,"6,9", (167),No Metascore,"Mayur is a married middle-class man and that becomes his biggest problem. Juggling between various expectations of friends, family, and society, Mayur is in search of a solution as we all are. But does such a solution really exist?",https://www.imdb.com//title/tt11569584/?ref_=sr_t_6011,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BZGI4MDU2M2QtZTZmMi00NjM0LThlOGQtMzUzNjY2NTYwYWNiXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BZGI4MDU2M2QtZTZmMi00NjM0LThlOGQtMzUzNjY2NTYwYWNiXkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BZGI4MDU2M2QtZTZmMi00NjM0LThlOGQtMzUzNjY2NTYwYWNiXkEyXkFqcGc@._V1_QL75_UX210_CR0,2,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BZGI4MDU2M2QtZTZmMi00NjM0LThlOGQtMzUzNjY2NTYwYWNiXkEyXkFqcGc@._V1_QL75_UX280_CR0,3,280,414_.jpg 280w"
6012, Ikkat,No Year,No Duration,No Age Rating,"6,9", (750),No Metascore,A couple on the verge of divorce have to stay together during lockdown as a nasty surprise awaits them.,https://www.imdb.com//title/tt15010834/?ref_=sr_t_6012,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BMGQ5ODBkYzEtNzJkMC00NGJlLWEzYjAtMjRmZjllN2RhY2MzXkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BMGQ5ODBkYzEtNzJkMC00NGJlLWEzYjAtMjRmZjllN2RhY2MzXkEyXkFqcGc@._V1_QL75_UY207_CR13,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BMGQ5ODBkYzEtNzJkMC00NGJlLWEzYjAtMjRmZjllN2RhY2MzXkEyXkFqcGc@._V1_QL75_UY311_CR19,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BMGQ5ODBkYzEtNzJkMC00NGJlLWEzYjAtMjRmZjllN2RhY2MzXkEyXkFqcGc@._V1_QL75_UY414_CR26,0,280,414_.jpg 280w"
6013, House Full,No Year,No Duration,No Age Rating,"6,9", (197),No Metascore,A story about a bomb placed in a theater in a slum and the lives of a small group of people living near it.,https://www.imdb.com//title/tt0289226/?ref_=sr_t_6013,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BZTRhNmZkNDAtYTJjZS00ZmQ4LWIyMzEtMjA2ZTA3Y2VmMGY4XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BZTRhNmZkNDAtYTJjZS00ZmQ4LWIyMzEtMjA2ZTA3Y2VmMGY4XkEyXkFqcGc@._V1_QL75_UX140_CR0,1,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BZTRhNmZkNDAtYTJjZS00ZmQ4LWIyMzEtMjA2ZTA3Y2VmMGY4XkEyXkFqcGc@._V1_QL75_UX210_CR0,2,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BZTRhNmZkNDAtYTJjZS00ZmQ4LWIyMzEtMjA2ZTA3Y2VmMGY4XkEyXkFqcGc@._V1_QL75_UX280_CR0,3,280,414_.jpg 280w"
6014, Manoharam,No Year,No Duration,No Age Rating,"6,9", (113),No Metascore,"The film begins with the ISI moles scheming to destabilize India, followed by bomb blasts in Coimbatore and Hyderabad. Basha, an ISI agent, enters India to plant bombs at various places. Anand is a regular bank employee and through a case of mistaken identity by police, he exposes the nefarious ISI network. Anand is tried and sentenced to 14 years imprisonment. Anand's wife Usha tries to prove her husband's innocence with the help of CBI officer Srinivasa Murthy.",https://www.imdb.com//title/tt0258785/?ref_=sr_t_6014,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BZjlhZjBiOTUtOTQzZi00MTQzLThiZTAtMzAxZGQ0MmVhZWZkXkEyXkFqcGc@._V1_QL75_UY207_CR34,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BZjlhZjBiOTUtOTQzZi00MTQzLThiZTAtMzAxZGQ0MmVhZWZkXkEyXkFqcGc@._V1_QL75_UY207_CR34,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BZjlhZjBiOTUtOTQzZi00MTQzLThiZTAtMzAxZGQ0MmVhZWZkXkEyXkFqcGc@._V1_QL75_UY311_CR50,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BZjlhZjBiOTUtOTQzZi00MTQzLThiZTAtMzAxZGQ0MmVhZWZkXkEyXkFqcGc@._V1_QL75_UY414_CR67,0,280,414_.jpg 280w"
6015, Humsafars,No Year,No Duration,No Age Rating,"6,9", (105),No Metascore,No Plot,https://www.imdb.com//title/tt4165798/?ref_=sr_t_6015,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BZDU0ZDE0NTctNjdmNy00MWY3LWJiMGEtY2JjZDY1NGZmOTcxXkEyXkFqcGc@._V1_QL75_UY207_CR141,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BZDU0ZDE0NTctNjdmNy00MWY3LWJiMGEtY2JjZDY1NGZmOTcxXkEyXkFqcGc@._V1_QL75_UY207_CR141,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BZDU0ZDE0NTctNjdmNy00MWY3LWJiMGEtY2JjZDY1NGZmOTcxXkEyXkFqcGc@._V1_QL75_UY311_CR211,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BZDU0ZDE0NTctNjdmNy00MWY3LWJiMGEtY2JjZDY1NGZmOTcxXkEyXkFqcGc@._V1_QL75_UY414_CR281,0,280,414_.jpg 280w"
6016, Varusham Padhinaaru,No Year,No Duration,No Age Rating,"6,9", (115),No Metascore,"Kannan, a teenager, falls in love with his uncle's daughter, Radhika, but things turn upside down when her grandmother disapproves of their relationship.",https://www.imdb.com//title/tt0215308/?ref_=sr_t_6016,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BY2YzYjRiZGYtNDE3My00NGM5LWFhOTQtZDc0MzA2NDA3MDAyXkEyXkFqcGc@._V1_QL75_UY207_CR6,0,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BY2YzYjRiZGYtNDE3My00NGM5LWFhOTQtZDc0MzA2NDA3MDAyXkEyXkFqcGc@._V1_QL75_UY207_CR6,0,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BY2YzYjRiZGYtNDE3My00NGM5LWFhOTQtZDc0MzA2NDA3MDAyXkEyXkFqcGc@._V1_QL75_UY311_CR8,0,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BY2YzYjRiZGYtNDE3My00NGM5LWFhOTQtZDc0MzA2NDA3MDAyXkEyXkFqcGc@._V1_QL75_UY414_CR11,0,280,414_.jpg 280w"
6017, Guns Trance Action,No Year,No Duration,No Age Rating,"6,9"," (2,1 mil)",No Metascore,Four sociopaths get into a brutal face off with a college student Rishi. Their characters are designed as per GTA game.,https://www.imdb.com//title/tt29278671/?ref_=sr_t_6017,"https://www.imdb.com/https://m.media-amazon.com/images/M/MV5BZGIwNmFlMzMtM2ZhZS00NWViLWE2M2ItNDI0MmI4NjNmYmRlXkEyXkFqcGc@._V1_QL75_UX140_CR0,6,140,207_.jpg","https://m.media-amazon.com/images/M/MV5BZGIwNmFlMzMtM2ZhZS00NWViLWE2M2ItNDI0MmI4NjNmYmRlXkEyXkFqcGc@._V1_QL75_UX140_CR0,6,140,207_.jpg 140w, https://m.media-amazon.com/images/M/MV5BZGIwNmFlMzMtM2ZhZS00NWViLWE2M2ItNDI0MmI4NjNmYmRlXkEyXkFqcGc@._V1_QL75_UX210_CR0,9,210,311_.jpg 210w, https://m.media-amazon.com/images/M/MV5BZGIwNmFlMzMtM2ZhZS00NWViLWE2M2ItNDI0MmI4NjNmYmRlXkEyXkFqcGc@._V1_QL75_UX280_CR0,12,280,414_.jpg 280w"
